seriesID,year,period,periodName,value
CUUR0000SA0,1947,M01,January,21.5
CUUR0000SA0,1947,M02,February,21.5
CUUR0000SA0,1947,M03,March,21.9
CUUR0000SA0,1947,M04,April,21.9
CUUR0000SA0,1947,M05,May,21.9
CUUR0000SA0,1947,M06,June,22.0
CUUR0000SA0,1947,M07,July,22.2
CUUR0000SA0,1947,M08,August,22.5
CUUR0000SA0,1947,M09,September,23.0
CUUR0000SA0,1947,M10,October,23.0
CUUR0000SA0,1947,M11,November,23.1
CUUR0000SA0,1947,M12,December,23.4
CUUR0000SA0,1948,M01,January,23.7
CUUR0000SA0,1948,M02,February,23.5
CUUR0000SA0,1948,M03,March,23.4
CUUR0000SA0,1948,M04,April,23.8
CUUR0000SA0,1948,M05,May,23.9
CUUR0000SA0,1948,M06,June,24.1
CUUR0000SA0,1948,M07,July,24.4
CUUR0000SA0,1948,M08,August,24.5
CUUR0000SA0,1948,M09,September,24.5
CUUR0000SA0,1948,M10,October,24.4
CUUR0000SA0,1948,M11,November,24.2
CUUR0000SA0,1948,M12,December,24.1
CUUR0000SA0,1949,M01,January,24.0
CUUR0000SA0,1949,M02,February,23.8
CUUR0000SA0,1949,M03,March,23.8
CUUR0000SA0,1949,M04,April,23.9
CUUR0000SA0,1949,M05,May,23.8
CUUR0000SA0,1949,M06,June,23.9
CUUR0000SA0,1949,M07,July,23.7
CUUR0000SA0,1949,M08,August,23.8
CUUR0000SA0,1949,M09,September,23.9
CUUR0000SA0,1949,M10,October,23.7
CUUR0000SA0,1949,M11,November,23.8
CUUR0000SA0,1949,M12,December,23.6
CUUR0000SA0,1950,M01,January,23.5
CUUR0000SA0,1950,M02,February,23.5
CUUR0000SA0,1950,M03,March,23.6
CUUR0000SA0,1950,M04,April,23.6
CUUR0000SA0,1950,M05,May,23.7
CUUR0000SA0,1950,M06,June,23.8
CUUR0000SA0,1950,M07,July,24.1
CUUR0000SA0,1950,M08,August,24.3
CUUR0000SA0,1950,M09,September,24.4
CUUR0000SA0,1950,M10,October,24.6
CUUR0000SA0,1950,M11,November,24.7
CUUR0000SA0,1950,M12,December,25.0
CUUR0000SA0,1951,M01,January,25.4
CUUR0000SA0,1951,M02,February,25.7
CUUR0000SA0,1951,M03,March,25.8
CUUR0000SA0,1951,M04,April,25.8
CUUR0000SA0,1951,M05,May,25.9
CUUR0000SA0,1951,M06,June,25.9
CUUR0000SA0,1951,M07,July,25.9
CUUR0000SA0,1951,M08,August,25.9
CUUR0000SA0,1951,M09,September,26.1
CUUR0000SA0,1951,M10,October,26.2
CUUR0000SA0,1951,M11,November,26.4
CUUR0000SA0,1951,M12,December,26.5
CUUR0000SA0,1952,M01,January,26.5
CUUR0000SA0,1952,M02,February,26.3
CUUR0000SA0,1952,M03,March,26.3
CUUR0000SA0,1952,M04,April,26.4
CUUR0000SA0,1952,M05,May,26.4
CUUR0000SA0,1952,M06,June,26.5
CUUR0000SA0,1952,M07,July,26.7
CUUR0000SA0,1952,M08,August,26.7
CUUR0000SA0,1952,M09,September,26.7
CUUR0000SA0,1952,M10,October,26.7
CUUR0000SA0,1952,M11,November,26.7
CUUR0000SA0,1952,M12,December,26.7
CUUR0000SA0,1953,M01,January,26.6
CUUR0000SA0,1953,M02,February,26.5
CUUR0000SA0,1953,M03,March,26.6
CUUR0000SA0,1953,M04,April,26.6
CUUR0000SA0,1953,M05,May,26.7
CUUR0000SA0,1953,M06,June,26.8
CUUR0000SA0,1953,M07,July,26.8
CUUR0000SA0,1953,M08,August,26.9
CUUR0000SA0,1953,M09,September,26.9
CUUR0000SA0,1953,M10,October,27.0
CUUR0000SA0,1953,M11,November,26.9
CUUR0000SA0,1953,M12,December,26.9
CUUR0000SA0,1954,M01,January,26.9
CUUR0000SA0,1954,M02,February,26.9
CUUR0000SA0,1954,M03,March,26.9
CUUR0000SA0,1954,M04,April,26.8
CUUR0000SA0,1954,M05,May,26.9
CUUR0000SA0,1954,M06,June,26.9
CUUR0000SA0,1954,M07,July,26.9
CUUR0000SA0,1954,M08,August,26.9
CUUR0000SA0,1954,M09,September,26.8
CUUR0000SA0,1954,M10,October,26.8
CUUR0000SA0,1954,M11,November,26.8
CUUR0000SA0,1954,M12,December,26.7
CUUR0000SA0,1955,M01,January,26.7
CUUR0000SA0,1955,M02,February,26.7
CUUR0000SA0,1955,M03,March,26.7
CUUR0000SA0,1955,M04,April,26.7
CUUR0000SA0,1955,M05,May,26.7
CUUR0000SA0,1955,M06,June,26.7
CUUR0000SA0,1955,M07,July,26.8
CUUR0000SA0,1955,M08,August,26.8
CUUR0000SA0,1955,M09,September,26.9
CUUR0000SA0,1955,M10,October,26.9
CUUR0000SA0,1955,M11,November,26.9
CUUR0000SA0,1955,M12,December,26.8
CUUR0000SA0,1956,M01,January,26.8
CUUR0000SA0,1956,M02,February,26.8
CUUR0000SA0,1956,M03,March,26.8
CUUR0000SA0,1956,M04,April,26.9
CUUR0000SA0,1956,M05,May,27.0
CUUR0000SA0,1956,M06,June,27.2
CUUR0000SA0,1956,M07,July,27.4
CUUR0000SA0,1956,M08,August,27.3
CUUR0000SA0,1956,M09,September,27.4
CUUR0000SA0,1956,M10,October,27.5
CUUR0000SA0,1956,M11,November,27.5
CUUR0000SA0,1956,M12,December,27.6
CUUR0000SA0,1957,M01,January,27.6
CUUR0000SA0,1957,M02,February,27.7
CUUR0000SA0,1957,M03,March,27.8
CUUR0000SA0,1957,M04,April,27.9
CUUR0000SA0,1957,M05,May,28.0
CUUR0000SA0,1957,M06,June,28.1
CUUR0000SA0,1957,M07,July,28.3
CUUR0000SA0,1957,M08,August,28.3
CUUR0000SA0,1957,M09,September,28.3
CUUR0000SA0,1957,M10,October,28.3
CUUR0000SA0,1957,M11,November,28.4
CUUR0000SA0,1957,M12,December,28.4
CUUR0000SA0,1958,M01,January,28.6
CUUR0000SA0,1958,M02,February,28.6
CUUR0000SA0,1958,M03,March,28.8
CUUR0000SA0,1958,M04,April,28.9
CUUR0000SA0,1958,M05,May,28.9
CUUR0000SA0,1958,M06,June,28.9
CUUR0000SA0,1958,M07,July,29.0
CUUR0000SA0,1958,M08,August,28.9
CUUR0000SA0,1958,M09,September,28.9
CUUR0000SA0,1958,M10,October,28.9
CUUR0000SA0,1958,M11,November,29.0
CUUR0000SA0,1958,M12,December,28.9
CUUR0000SA0,1959,M01,January,29.0
CUUR0000SA0,1959,M02,February,28.9
CUUR0000SA0,1959,M03,March,28.9
CUUR0000SA0,1959,M04,April,29.0
CUUR0000SA0,1959,M05,May,29.0
CUUR0000SA0,1959,M06,June,29.1
CUUR0000SA0,1959,M07,July,29.2
CUUR0000SA0,1959,M08,August,29.2
CUUR0000SA0,1959,M09,September,29.3
CUUR0000SA0,1959,M10,October,29.4
CUUR0000SA0,1959,M11,November,29.4
CUUR0000SA0,1959,M12,December,29.4
CUUR0000SA0,1960,M01,January,29.3
CUUR0000SA0,1960,M02,February,29.4
CUUR0000SA0,1960,M03,March,29.4
CUUR0000SA0,1960,M04,April,29.5
CUUR0000SA0,1960,M05,May,29.5
CUUR0000SA0,1960,M06,June,29.6
CUUR0000SA0,1960,M07,July,29.6
CUUR0000SA0,1960,M08,August,29.6
CUUR0000SA0,1960,M09,September,29.6
CUUR0000SA0,1960,M10,October,29.8
CUUR0000SA0,1960,M11,November,29.8
CUUR0000SA0,1960,M12,December,29.8
CUUR0000SA0,1961,M01,January,29.8
CUUR0000SA0,1961,M02,February,29.8
CUUR0000SA0,1961,M03,March,29.8
CUUR0000SA0,1961,M04,April,29.8
CUUR0000SA0,1961,M05,May,29.8
CUUR0000SA0,1961,M06,June,29.8
CUUR0000SA0,1961,M07,July,30.0
CUUR0000SA0,1961,M08,August,29.9
CUUR0000SA0,1961,M09,September,30.0
CUUR0000SA0,1961,M10,October,30.0
CUUR0000SA0,1961,M11,November,30.0
CUUR0000SA0,1961,M12,December,30.0
CUUR0000SA0,1962,M01,January,30.0
CUUR0000SA0,1962,M02,February,30.1
CUUR0000SA0,1962,M03,March,30.1
CUUR0000SA0,1962,M04,April,30.2
CUUR0000SA0,1962,M05,May,30.2
CUUR0000SA0,1962,M06,June,30.2
CUUR0000SA0,1962,M07,July,30.3
CUUR0000SA0,1962,M08,August,30.3
CUUR0000SA0,1962,M09,September,30.4
CUUR0000SA0,1962,M10,October,30.4
CUUR0000SA0,1962,M11,November,30.4
CUUR0000SA0,1962,M12,December,30.4
CUUR0000SA0,1963,M01,January,30.4
CUUR0000SA0,1963,M02,February,30.4
CUUR0000SA0,1963,M03,March,30.5
CUUR0000SA0,1963,M04,April,30.5
CUUR0000SA0,1963,M05,May,30.5
CUUR0000SA0,1963,M06,June,30.6
CUUR0000SA0,1963,M07,July,30.7
CUUR0000SA0,1963,M08,August,30.7
CUUR0000SA0,1963,M09,September,30.7
CUUR0000SA0,1963,M10,October,30.8
CUUR0000SA0,1963,M11,November,30.8
CUUR0000SA0,1963,M12,December,30.9
CUUR0000SA0,1964,M01,January,30.9
CUUR0000SA0,1964,M02,February,30.9
CUUR0000SA0,1964,M03,March,30.9
CUUR0000SA0,1964,M04,April,30.9
CUUR0000SA0,1964,M05,May,30.9
CUUR0000SA0,1964,M06,June,31.0
CUUR0000SA0,1964,M07,July,31.1
CUUR0000SA0,1964,M08,August,31.0
CUUR0000SA0,1964,M09,September,31.1
CUUR0000SA0,1964,M10,October,31.1
CUUR0000SA0,1964,M11,November,31.2
CUUR0000SA0,1964,M12,December,31.2
CUUR0000SA0,1965,M01,January,31.2
CUUR0000SA0,1965,M02,February,31.2
CUUR0000SA0,1965,M03,March,31.3
CUUR0000SA0,1965,M04,April,31.4
CUUR0000SA0,1965,M05,May,31.4
CUUR0000SA0,1965,M06,June,31.6
CUUR0000SA0,1965,M07,July,31.6
CUUR0000SA0,1965,M08,August,31.6
CUUR0000SA0,1965,M09,September,31.6
CUUR0000SA0,1965,M10,October,31.7
CUUR0000SA0,1965,M11,November,31.7
CUUR0000SA0,1965,M12,December,31.8
CUUR0000SA0,1966,M01,January,31.8
CUUR0000SA0,1966,M02,February,32.0
CUUR0000SA0,1966,M03,March,32.1
CUUR0000SA0,1966,M04,April,32.3
CUUR0000SA0,1966,M05,May,32.3
CUUR0000SA0,1966,M06,June,32.4
CUUR0000SA0,1966,M07,July,32.5
CUUR0000SA0,1966,M08,August,32.7
CUUR0000SA0,1966,M09,September,32.7
CUUR0000SA0,1966,M10,October,32.9
CUUR0000SA0,1966,M11,November,32.9
CUUR0000SA0,1966,M12,December,32.9
CUUR0000SA0,1967,M01,January,32.9
CUUR0000SA0,1967,M02,February,32.9
CUUR0000SA0,1967,M03,March,33.0
CUUR0000SA0,1967,M04,April,33.1
CUUR0000SA0,1967,M05,May,33.2
CUUR0000SA0,1967,M06,June,33.3
CUUR0000SA0,1967,M07,July,33.4
CUUR0000SA0,1967,M08,August,33.5
CUUR0000SA0,1967,M09,September,33.6
CUUR0000SA0,1967,M10,October,33.7
CUUR0000SA0,1967,M11,November,33.8
CUUR0000SA0,1967,M12,December,33.9
CUUR0000SA0,1968,M01,January,34.1
CUUR0000SA0,1968,M02,February,34.2
CUUR0000SA0,1968,M03,March,34.3
CUUR0000SA0,1968,M04,April,34.4
CUUR0000SA0,1968,M05,May,34.5
CUUR0000SA0,1968,M06,June,34.7
CUUR0000SA0,1968,M07,July,34.9
CUUR0000SA0,1968,M08,August,35.0
CUUR0000SA0,1968,M09,September,35.1
CUUR0000SA0,1968,M10,October,35.3
CUUR0000SA0,1968,M11,November,35.4
CUUR0000SA0,1968,M12,December,35.5
CUUR0000SA0,1969,M01,January,35.6
CUUR0000SA0,1969,M02,February,35.8
CUUR0000SA0,1969,M03,March,36.1
CUUR0000SA0,1969,M04,April,36.3
CUUR0000SA0,1969,M05,May,36.4
CUUR0000SA0,1969,M06,June,36.6
CUUR0000SA0,1969,M07,July,36.8
CUUR0000SA0,1969,M08,August,37.0
CUUR0000SA0,1969,M09,September,37.1
CUUR0000SA0,1969,M10,October,37.3
CUUR0000SA0,1969,M11,November,37.5
CUUR0000SA0,1969,M12,December,37.7
CUUR0000SA0,1970,M01,January,37.8
